dataTime,level,mode,response_time,province,city,note
2023-06-23 10:23:40,INFO,goods_manager.py,694,浙江省,丽水市,哥，保时捷新款SUV要来了解一下不
2023-06-23 10:23:40,INFO,orders_service.py,18,江苏省,张家港市,【杭州下沙奔驰4S店】您的爱车：迈巴赫S650已经到了保养日期了，欢迎您到店保养。
2023-06-23 10:23:40,INFO,goods_manager.py,391,安徽省,阜阳市,招商银行提示您，您尾号0000的账号，入账工资：150000元【代发】
2023-06-23 10:23:40,INFO,event.py,984,北京市,海淀区,明天就发工资了，今天大家好好卷。
2023-06-23 10:23:40,INFO,event.py,507,天津市,宝坻区,键盘敲烂，月薪过万。笔记翻烂，薄纱面试官。
2023-06-23 10:23:40,INFO,event.py,315,安徽省,合肥市,看啥呢，别看日志了，快写代码，说的就是你。
2023-06-23 10:23:40,WARN,base_network.py,835,湖南省,长沙市,学IT来黑马，就来黑马程序员
2023-06-23 10:23:40,INFO,barcode_service.py,304,湖南省,长沙市,看啥呢，别看日志了，快写代码，说的就是你。
2023-06-23 10:23:40,ERROR,event.py,894,上海市,宝山区,【骚扰短信】招商银行提示您：您尾号0000的账户，存款超过10000000，可以升级到SVIP级别，详情点击：https://www.itheima.com
2023-06-23 10:23:40,INFO,barcode_service.py,905,广东省,深圳市,招商银行提示您，您尾号0000的账号，入账工资：150000元【代发】
2023-06-23 10:23:40,INFO,base_network.py,588,安徽省,池州市,学IT来黑马，就来黑马程序员
2023-06-23 10:23:40,INFO,event.py,54,浙江省,金华市,【腾讯游戏】S99赛季结算完成，您在本赛季的排名是：青铜，请在S100赛季继续努力
2023-06-23 10:23:40,INFO,orders_service.py,708,安徽省,阜阳市,【杭州下沙奔驰4S店】您的爱车：迈巴赫S650已经到了保养日期了，欢迎您到店保养。
2023-06-23 10:23:40,INFO,goods_manager.py,186,山东省,青岛市,哥，保时捷新款SUV要来了解一下不
2023-06-23 10:23:40,INFO,event.py,435,湖南省,张家界市,【骚扰短信】我们是专业保洁公司的，哥，您在下沙滨江的别墅需要打扫卫生吗，价格合适，详情：400-618-9090
2023-06-23 10:23:40,INFO,barcode_service.py,558,浙江省,丽水市,哥，保时捷新款SUV要来了解一下不
2023-06-23 10:23:40,ERROR,orders_service.py,55,湖北省,武汉市,明天就发工资了，今天大家好好卷。
2023-06-23 10:23:40,INFO,barcode_service.py,180,北京市,昌平区,招商银行提示您，您尾号0000的账号，入账工资：150000元【代发】
2023-06-23 10:23:40,ERROR,shop_manager.py,663,重庆市,涪陵区,明天就发工资了，今天大家好好卷。
2023-06-23 10:23:40,INFO,goods_manager.py,633,江苏省,南京市,【腾讯游戏】S99赛季结算完成，您在本赛季的排名是：青铜，请在S100赛季继续努力
2023-06-23 10:23:40,INFO,user_manager.py,291,浙江省,金华市,数据库崩溃啦，快来恢复。
2023-06-23 10:23:40,INFO,orders_service.py,469,广东省,广州市,【腾讯游戏】S99赛季结算完成，您在本赛季的排名是：青铜，请在S100赛季继续努力
2023-06-23 10:23:40,INFO,orders_service.py,552,浙江省,绍兴市,明天就发工资了，今天大家好好卷。
2023-06-23 10:23:40,WARN,goods_manager.py,84,上海市,黄浦区,看的爽不爽？多写两行代码都能实现。
2023-06-23 10:23:40,INFO,shop_manager.py,714,天津市,河西区,【骚扰短信】招商银行提示您：您尾号0000的账户，存款超过10000000，可以升级到SVIP级别，详情点击：https://www.itheima.com
2023-06-23 10:23:40,INFO,orders_service.py,299,湖北省,武汉市,服务器宕机啦，快来恢复。
2023-06-23 10:23:40,INFO,orders_service.py,880,安徽省,芜湖市,【腾讯游戏】S99赛季结算完成，您在本赛季的排名是：青铜，请在S100赛季继续努力
2023-06-23 10:23:40,INFO,barcode_service.py,483,山东省,济南市,【骚扰短信】我们是专业保洁公司的，哥，您在下沙滨江的别墅需要打扫卫生吗，价格合适，详情：400-618-9090
2023-06-23 10:23:40,INFO,barcode_service.py,138,上海市,普陀区,【骚扰短信】招商银行提示您：您尾号0000的账户，存款超过10000000，可以升级到SVIP级别，详情点击：https://www.itheima.com
2023-06-23 10:23:40,INFO,user_manager.py,883,广东省,深圳市,看的爽不爽？多写两行代码都能实现。
2023-06-23 10:23:40,INFO,base_network.py,181,浙江省,杭州市,【杭州下沙奔驰4S店】您的爱车：迈巴赫S650已经到了保养日期了，欢迎您到店保养。
2023-06-23 10:23:40,WARN,goods_manager.py,175,浙江省,杭州市,想要高薪就业？除了Hadoop、Hive、Spark、项目以外，没事就要刷刷SQL，SQL经常面试用到哦。
2023-06-23 10:23:40,WARN,base_network.py,269,浙江省,丽水市,看啥呢，别看日志了，快写代码，说的就是你。
2023-06-23 10:23:40,INFO,goods_manager.py,887,湖北省,武汉市,招商银行提示您，您尾号0000的账号，入账工资：150000元【代发】
2023-06-23 10:23:40,INFO,event.py,915,天津市,河西区,明天就发工资了，今天大家好好卷。
2023-06-23 10:23:40,INFO,goods_manager.py,502,北京市,丰台区,【Apache Spark】感谢您对Apache Spark开源项目的支持，截至今日您已贡献超过100000行代码。
2023-06-23 10:23:40,INFO,goods_manager.py,690,江苏省,苏州市,看啥呢，别看日志了，快写代码，说的就是你。
2023-06-23 10:23:40,INFO,barcode_service.py,444,广东省,深圳市,明天就发工资了，今天大家好好卷。
2023-06-23 10:23:40,INFO,user_manager.py,8550,山东省,青岛市,键盘敲烂，月薪过万。笔记翻烂，薄纱面试官。
2023-06-23 10:23:40,INFO,shop_manager.py,775,江苏省,无锡市,【骚扰短信】我们是专业保洁公司的，哥，您在下沙滨江的别墅需要打扫卫生吗，价格合适，详情：400-618-9090
2023-06-23 10:23:40,INFO,goods_manager.py,992,安徽省,阜阳市,想要高薪就业？除了Hadoop、Hive、Spark、项目以外，没事就要刷刷SQL，SQL经常面试用到哦。
2023-06-23 10:23:40,INFO,orders_service.py,943,重庆市,南岸区,哥，保时捷新款SUV要来了解一下不
2023-06-23 10:23:40,INFO,event.py,529,江苏省,南京市,服务器宕机啦，快来恢复。
2023-06-23 10:23:40,INFO,goods_manager.py,800,安徽省,铜陵市,【Apache Spark】感谢您对Apache Spark开源项目的支持，截至今日您已贡献超过100000行代码。
2023-06-23 10:23:40,INFO,barcode_service.py,895,北京市,大兴区,键盘敲烂，月薪过万。笔记翻烂，薄纱面试官。
2023-06-23 10:23:40,INFO,barcode_service.py,8404,天津市,武清区,看的爽不爽？多写两行代码都能实现。
2023-06-23 10:23:40,INFO,event.py,22,上海市,黄浦区,【Apache Spark】感谢您对Apache Spark开源项目的支持，截至今日您已贡献超过100000行代码。
2023-06-23 10:23:40,INFO,event.py,9,山东省,青岛市,看的爽不爽？多写两行代码都能实现。
2023-06-23 10:23:40,INFO,user_manager.py,513,江苏省,常州市,看啥呢，别看日志了，快写代码，说的就是你。
2023-06-23 10:23:40,INFO,event.py,636,重庆市,南岸区,【骚扰短信】招商银行提示您：您尾号0000的账户，存款超过10000000，可以升级到SVIP级别，详情点击：https://www.itheima.com
2023-06-23 10:23:40,WARN,goods_manager.py,159,北京市,海淀区,看啥呢，别看日志了，快写代码，说的就是你。
2023-06-23 10:23:40,INFO,event.py,9367,江苏省,南京市,键盘敲烂，月薪过万。笔记翻烂，薄纱面试官。
2023-06-23 10:23:40,INFO,shop_manager.py,779,江苏省,无锡市,【杭州下沙奔驰4S店】您的爱车：迈巴赫S650已经到了保养日期了，欢迎您到店保养。
2023-06-23 10:23:40,INFO,goods_manager.py,220,浙江省,湖州市,明天就发工资了，今天大家好好卷。
2023-06-23 10:23:40,ERROR,event.py,8027,广东省,深圳市,【Apache Spark】感谢您对Apache Spark开源项目的支持，截至今日您已贡献超过100000行代码。
2023-06-23 10:23:40,INFO,orders_service.py,840,北京市,海淀区,【腾讯游戏】S99赛季结算完成，您在本赛季的排名是：青铜，请在S100赛季继续努力
2023-06-23 10:23:40,INFO,goods_manager.py,624,重庆市,万州区,看的爽不爽？多写两行代码都能实现。
2023-06-23 10:23:40,INFO,orders_service.py,746,重庆市,南岸区,招商银行提示您，您尾号0000的账号，入账工资：150000元【代发】
2023-06-23 10:23:40,INFO,event.py,968,江苏省,常州市,服务器宕机啦，快来恢复。
2023-06-23 10:23:40,ERROR,shop_manager.py,43,山东省,济南市,哥，保时捷新款SUV要来了解一下不
2023-06-23 10:23:40,INFO,user_manager.py,685,上海市,杨浦区,【杭州下沙奔驰4S店】您的爱车：迈巴赫S650已经到了保养日期了，欢迎您到店保养。
2023-06-23 10:23:40,WARN,user_manager.py,208,北京市,朝阳区,看啥呢，别看日志了，快写代码，说的就是你。
2023-06-23 10:23:40,INFO,goods_manager.py,991,广东省,珠海市,【杭州下沙奔驰4S店】您的爱车：迈巴赫S650已经到了保养日期了，欢迎您到店保养。
2023-06-23 10:23:40,INFO,goods_manager.py,128,北京市,朝阳区,看的爽不爽？多写两行代码都能实现。
2023-06-23 10:23:40,INFO,orders_service.py,490,江苏省,无锡市,【杭州下沙奔驰4S店】您的爱车：迈巴赫S650已经到了保养日期了，欢迎您到店保养。
2023-06-23 10:23:40,INFO,orders_service.py,852,上海市,浦东新区,【腾讯游戏】S99赛季结算完成，您在本赛季的排名是：青铜，请在S100赛季继续努力
